Model,Flare_US,,,,,,,,,
GridWidth,25,,,,,,,,,
GridHeight,14,,,,,,,,,
Parameters,grid_x,grid_y,exist,LeftTop_x,LeftTop_y,RightBottom_x,RightBottom_y,Z_index,Note,PNG
LED 0,0,0,1,301,456,400,555,0,ESC,
LED 1,1,0,0,-1,-1,-1,-1,0,,
LED 2,2,0,0,-1,-1,-1,-1,0,,
LED 3,3,0,1,563,456,662,555,0,F1,
LED 4,4,0,1,700,456,799,555,0,F2,
LED 5,5,0,1,834,456,933,555,0,F3,
LED 6,6,0,1,970,456,1069,555,0,F4,
LED 7,7,0,0,-1,-1,-1,-1,0,,
LED 8,8,0,1,1173,456,1272,555,0,F5,
LED 9,9,0,1,1309,456,1408,555,0,F6,
LED 10,10,0,1,1443,456,1542,555,0,F7,
LED 11,11,0,1,1580,456,1679,555,0,F8,
LED 12,12,0,1,1785,456,1884,555,0,F9,
LED 13,13,0,1,1920,456,2019,555,0,F10,
LED 14,14,0,1,2056,456,2155,555,0,F11,
LED 15,15,0,1,2187,456,2286,555,0,F12,
LED 16,16,0,1,2361,456,2460,555,0,PRINT,
LED 17,17,0,1,2497,456,2596,555,0,SCROLL,
LED 18,18,0,1,2633,456,2732,555,0,PAUSE,
LED 19,19,0,0,-1,-1,-1,-1,0,G1,
LED 20,20,0,0,-1,-1,-1,-1,0,G2,
LED 21,21,0,0,-1,-1,-1,-1,0,G3,
LED 22,22,0,0,-1,-1,-1,-1,0,G4,
LED 23,23,0,0,-1,-1,-1,-1,0,ROG Logo,
LED 24,0,1,1,301,648,400,747,0,TLIDE,
LED 25,1,1,0,-1,-1,-1,-1,0,,
LED 26,2,1,1,436,648,535,747,0,1,
LED 27,3,1,1,567,648,666,747,0,2,
LED 28,4,1,1,706,648,805,747,0,3,
LED 29,5,1,1,845,648,944,747,0,4,
LED 30,6,1,1,969,648,1068,747,0,5,
LED 31,7,1,1,1103,648,1202,747,0,6,
LED 32,8,1,1,1239,648,1338,747,0,7,
LED 33,9,1,1,1373,648,1472,747,0,8,
LED 34,10,1,1,1516,648,1615,747,0,9,
LED 35,11,1,1,1650,648,1749,747,0,0,
LED 36,12,1,1,1791,648,1890,747,0,NEG,
LED 37,13,1,1,1925,648,2024,747,0,EQUATION,
LED 38,14,1,0,-1,-1,-1,-1,0,,
LED 39,15,1,1,2047,648,2286,747,0,BACKSPACE,
LED 40,16,1,1,2357,648,2456,747,0,INSERT,
LED 41,17,1,1,2494,648,2593,747,0,HOME,
LED 42,18,1,1,2630,648,2729,747,0,PGUP,
LED 43,19,1,1,2803,648,2902,747,0,NUM_LOCK,
LED 44,20,1,1,2940,648,3039,747,0,NUM_DIV,
