GridWidth,27,,,,,,,,,
GridHeight,27,,,,,,,,,
Parameters,grid_x,grid_y,exist,LeftTop_x,LeftTop_y,RightBottom_x,RightBottom_y,Z_index,Note,PNG
LED 0,0,0,1,759,1679,1306,2560,1,ZONE1,
LED 1,8,0,1,1363,1679,1910,2560,1,ZONE2,
LED 2,16,0,1,1968,1679,2515,2560,1,ZONE3,
LED 3,24,0,1,2572,1679,3119,2560,1,ZONE4,
LED 4,0,0,1,678,62,1190,402,1,LOGO,
LED 5,24,0,1,3372,1551,3420,3222,1,LIGHTBAR_R1,
LED 6,24,0,1,3234,3242,3420,3444,1,LIGHTBAR_R2,bar_b_r.png
LED 7,24,0,1,1977,3396,3216,3444,1,LIGHTBAR_R3,
LED 8,0,0,1,665,3396,1904,3444,1,LIGHTBAR_L3,
LED 9,0,0,1,459,3242,645,3444,1,LIGHTBAR_L2,bar_b_l.png
LED 10,0,0,1,459,1551,507,3222,1,LIGHTBAR_L1,
